classifier,clip,category,detector,total_frames,rgb_tp,rgb_fp,rgb_fn,rgb_p,rgb_r,rgb_f1,ir_tp,ir_fp,ir_fn,ir_p,ir_r,ir_f1,clf_tp,clf_fp,clf_fn,clf_p,clf_r,clf_f1,seg_temp_segs,seg_temp_tp,seg_temp_fp,seg_temp_fn,seg_temp_p,seg_temp_r,seg_temp_f1,seg_final_segs,seg_final_tp,seg_final_fp,seg_final_fn,seg_final_p,seg_final_r,seg_final_f1,alert_events,vetoed_alerts
fnfn,drone_takeoff_short,drone,baseline_trained,116,97,1,19,0.9898,0.8362,0.9065,37,6,79,0.8605,0.319,0.4654,9,0,107,1.0,0.0776,0.144,39,4,0,35,1.0,0.1026,0.186,39,4,0,35,1.0,0.1026,0.186,2,0
fnfn,drone_takeoff_short,drone,retrained_v2,116,76,0,40,1.0,0.6552,0.7917,37,6,79,0.8605,0.319,0.4654,9,0,107,1.0,0.0776,0.144,39,5,0,34,1.0,0.1282,0.2273,39,5,0,34,1.0,0.1282,0.2273,2,0
fnfn,drone_takeoff_short,drone,selcom_1280,116,101,4,15,0.9619,0.8707,0.914,37,6,79,0.8605,0.319,0.4654,1,0,115,1.0,0.0086,0.0171,39,0,0,39,0.0,0.0,0.0,39,0,0,39,0.0,0.0,0.0,0,0
fnfn,drone_takeoff_short,drone,selcom_640,116,86,1,30,0.9885,0.7414,0.8473,37,6,79,0.8605,0.319,0.4654,1,0,115,1.0,0.0086,0.0171,39,0,0,39,0.0,0.0,0.0,39,0,0,39,0.0,0.0,0.0,0,0
fnfn,drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,drone,baseline_trained,166,133,5,29,0.9638,0.821,0.8867,54,12,108,0.8182,0.3333,0.4737,31,0,131,1.0,0.1914,0.3212,56,14,0,42,1.0,0.25,0.4,56,14,0,42,1.0,0.25,0.4,4,0
fnfn,drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,drone,retrained_v2,166,133,6,29,0.9568,0.821,0.8837,54,12,108,0.8182,0.3333,0.4737,4,0,158,1.0,0.0247,0.0482,56,2,0,54,1.0,0.0357,0.069,56,2,0,54,1.0,0.0357,0.069,1,0
fnfn,drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,drone,selcom_1280,166,127,25,35,0.8355,0.784,0.8089,54,12,108,0.8182,0.3333,0.4737,4,0,158,1.0,0.0247,0.0482,56,2,0,54,1.0,0.0357,0.069,56,2,0,54,1.0,0.0357,0.069,1,0
fnfn,drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,drone,selcom_640,166,123,5,39,0.9609,0.7593,0.8483,54,12,108,0.8182,0.3333,0.4737,21,0,141,1.0,0.1296,0.2295,56,11,0,45,1.0,0.1964,0.3284,56,11,0,45,1.0,0.1964,0.3284,5,0
fnfn,flock_of_seagulls_attack_drone_beach,drone,baseline_trained,239,142,9,45,0.9404,0.7594,0.8402,128,3,59,0.9771,0.6845,0.805,0,0,187,0.0,0.0,0.0,80,0,0,65,0.0,0.0,0.0,80,0,0,65,0.0,0.0,0.0,0,0
fnfn,flock_of_seagulls_attack_drone_beach,drone,retrained_v2,239,82,0,105,1.0,0.4385,0.6097,128,3,59,0.9771,0.6845,0.805,0,0,187,0.0,0.0,0.0,80,0,0,65,0.0,0.0,0.0,80,0,0,65,0.0,0.0,0.0,0,0
