classifier,dataset,mode,stage,n,TP,FP,FN,P,R,F1
A,ir_test,any,S1_+temporal_rgb,1000,133,13,98,0.910958904109589,0.5757575757575758,0.7055702917771883
A,ir_test,argmax,S2_+classifier (production),1000,561,454,88,0.5527093596059113,0.864406779661017,0.6742788461538461
A,ir_test,argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
A,ir_test,argmax,S2_+classifier_seg,1000,190,0,41,1.0,0.8225108225108225,0.9026128266033254
A,ir_test,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
A,ir_test,softveto,S2_+classifier,1000,485,236,164,0.6726768377253814,0.7473035439137135,0.708029197080292
A,ir_test,softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
A,ir_test,softveto,S2_+classifier_seg,1000,202,0,29,1.0,0.8744588744588745,0.9330254041570439
A,ir_test,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
B,ir_test,any,S0_rgb_raw,1000,270,309,379,0.46632124352331605,0.41602465331278893,0.4397394136807818
B,ir_test,any,S0_ir_base,1000,601,7,48,0.9884868421052632,0.926040061633282,0.9562450278440732
B,ir_test,any,S1_+temporal_rgb,1000,133,13,98,0.910958904109589,0.5757575757575758,0.7055702917771883
B,ir_test,argmax,S2_+classifier (production),1000,545,100,104,0.8449612403100775,0.8397534668721109,0.8423493044822257
B,ir_test,argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
B,ir_test,argmax,S2_+classifier_seg,1000,186,0,45,1.0,0.8051948051948052,0.8920863309352518
B,ir_test,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
B,ir_test,softveto,S2_+classifier,1000,482,242,167,0.6657458563535912,0.7426810477657936,0.7021121631463949
B,ir_test,softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
B,ir_test,softveto,S2_+classifier_seg,1000,197,0,34,1.0,0.8528138528138528,0.9205607476635514
B,ir_test,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
C,ir_test,any,S0_rgb_raw,1000,270,309,379,0.46632124352331605,0.41602465331278893,0.4397394136807818
C,ir_test,any,S0_ir_base,1000,601,7,48,0.9884868421052632,0.926040061633282,0.9562450278440732
C,ir_test,any,S1_+temporal_rgb,1000,133,13,98,0.910958904109589,0.5757575757575758,0.7055702917771883
C,ir_test,argmax,S2_+classifier (production),1000,546,450,103,0.5481927710843374,0.8412942989214176,0.6638297872340426
C,ir_test,argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
C,ir_test,argmax,S2_+classifier_seg,1000,183,0,48,1.0,0.7922077922077922,0.8840579710144928
C,ir_test,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
C,ir_test,softveto,S2_+classifier,1000,476,236,173,0.6685393258426966,0.7334360554699538,0.6994856722997795
C,ir_test,softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
C,ir_test,softveto,S2_+classifier_seg,1000,195,0,36,1.0,0.8441558441558441,0.9154929577464789
C,ir_test,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
ABC,ir_test,any,S0_rgb_raw,1000,270,309,379,0.46632124352331605,0.41602465331278893,0.4397394136807818
ABC,ir_test,any,S0_ir_base,1000,601,7,48,0.9884868421052632,0.926040061633282,0.9562450278440732
ABC,ir_test,any,S1_+temporal_rgb,1000,133,13,98,0.910958904109589,0.5757575757575758,0.7055702917771883
ABC,ir_test,argmax,S2_+classifier (production),1000,545,391,104,0.5822649572649573,0.8397534668721109,0.6876971608832808
ABC,ir_test,argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
ABC,ir_test,argmax,S2_+classifier_seg,1000,184,0,47,1.0,0.7965367965367965,0.8867469879518072
ABC,ir_test,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
ABC,ir_test,softveto,S2_+classifier,1000,475,234,174,0.6699576868829337,0.7318952234206472,0.6995581737849779
ABC,ir_test,softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
ABC,ir_test,softveto,S2_+classifier_seg,1000,195,0,36,1.0,0.8441558441558441,0.9154929577464789
ABC,ir_test,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
